"bonica.rid","name","state","district","seat","cycle","Incum.Chall_2014","ran.general_2014","MissingCandidates_2014","winner_2014"
"cand6021","graylinda","AZ",1,"state:lower",2014,"",NA,0,""
"cand68976972","cucciafrankjames","AZ",1,"state:lower",2014,"",1,0,""
"cand34948","tobinandrewmichael","AZ",1,"state:lower",2014,"",NA,0,""
"cand68976985","englundsean","AZ",1,"state:lower",2014,"",NA,0,""
"cand6609","campbellnoel","AZ",1,"state:lower",2014,"",1,0,"W"
"cand68976990","clincodemion","AZ",2,"state:lower",2014,"I",1,1,""
"cand68976956","ringlerrichard","AZ",2,"state:lower",2014,"",NA,1,""
"cand122991","ackerleyjohnchristopher","AZ",2,"state:lower",2014,"",1,1,"W"
"cand5969","saldatemacarioiv","AZ",3,"state:lower",2014,"I",1,NA,"W"
"cand5941","gonzalessallyann","AZ",3,"state:lower",2014,"I",1,NA,"W"
"cand122992","escamillajuancarlos","AZ",4,"state:lower",2014,"",NA,1,""
"cand6492","hopkinsrichard","AZ",4,"state:lower",2014,"",1,1,""
"cand68977003","suarezjoseleonardo","AZ",4,"state:lower",2014,"",NA,1,""
"cand123067","borrellisonny","AZ",5,"state:lower",2014,"I",1,NA,"W"
"cand6855","goodaledoris","AZ",5,"state:lower",2014,"I",NA,NA,""
"cand68976995","cobbregina","AZ",5,"state:lower",2014,"",1,NA,"W"
"cand68976986","longoriajoseph","AZ",5,"state:lower",2014,"",1,NA,""
"cand123003","schnittgrundgeorge","AZ",5,"state:lower",2014,"",NA,NA,""
"cand5974","weisserbeth","AZ",5,"state:lower",2014,"",1,NA,""
"cand6003","bartonbrenda","AZ",6,"state:lower",2014,"I",1,NA,"W"
"cand68976982","thorperobertj","AZ",6,"state:lower",2014,"I",1,NA,"W"
"cand122998","ballarddouglasa","AZ",6,"state:lower",2014,"",NA,NA,""
"cand68976975","benallyjenniferdelphinems","AZ",7,"state:lower",2014,"",1,NA,"W"
"cand40312","halealbert","AZ",7,"state:lower",2014,"I",1,NA,"W"
"cand68976999","butlerjoshualavar","AZ",7,"state:lower",2014,"",NA,NA,""
"cand123069","shopethomasrjr","AZ",8,"state:lower",2014,"I",1,NA,""
"cand123069","shopethomasrjr","AZ",8,"state:lower",2014,"I",1,NA,""
"cand68977006","casillascarmen","AZ",8,"state:lower",2014,"",1,NA,"W"
"cand123010","steelevictoria","AZ",9,"state:lower",2014,"I",1,1,"W"
"cand68976970","frieserandalls","AZ",9,"state:lower",2014,"",1,1,"W"
"cand68976970","frieserandalls","AZ",9,"state:lower",2014,"",1,1,"W"
"cand5966","coxdustin","AZ",9,"state:lower",2014,"",NA,NA,""
"cand5971","wheelerbruce","AZ",10,"state:lower",2014,"I",1,NA,"W"
"cand123009","clodfeltertodd","AZ",10,"state:lower",2014,"",1,NA,""
"cand68976979","wildishwilliam","AZ",10,"state:lower",2014,"",1,NA,""
"cand123007","machstefanie","AZ",10,"state:lower",2014,"I",1,NA,"W"
"cand6049","vogtted","AZ",10,"state:lower",2014,"",NA,NA,""
"cand68976988","grantjo","AZ",11,"state:lower",2014,"",NA,1,""
"cand68976943","finchemmark","AZ",11,"state:lower",2014,"",1,1,"W"
"cand68976936","leachvendenwvince","AZ",11,"state:lower",2014,"",NA,1,"W"
"cand143056","kwasmanadam","AZ",11,"state:lower",2014,"I",NA,1,""
"cand68976938","westermanrobert","AZ",11,"state:lower",2014,"",NA,1,""
"cand68976919","josephdavidj","AZ",11,"state:lower",2014,"",NA,1,""
"cand123013","petersenwarren","AZ",12,"state:lower",2014,"I",1,1,""
"cand68976976","rothansdj","AZ",12,"state:lower",2014,"",1,1,"W"
"cand68976942","landisdianeh","AZ",13,"state:lower",2014,"",1,0,""
"cand123016","mitchelldarin","AZ",13,"state:lower",2014,"I",1,0,"W"
"cand68976977","hansensteve","AZ",13,"state:lower",2014,"",NA,0,""
"cand123016","mitchelldarin","AZ",13,"state:lower",2014,"",NA,0,""
"cand6763","gowandavid","AZ",14,"state:lower",2014,"I",1,1,"W"
"cand68976958","syfertsusan","AZ",14,"state:lower",2014,"",NA,1,""
"cand68976996","burtonjamesc","AZ",14,"state:lower",2014,"",1,1,""
"cand6010","carterheather","AZ",15,"state:lower",2014,"I",1,NA,""
"cand45786","smithdavidburnell","AZ",15,"state:lower",2014,"",NA,NA,""
"cand6744","allenjohnm","AZ",15,"state:lower",2014,"I",1,NA,"W"
"cand68976932","caseyheatherm","AZ",15,"state:lower",2014,"",NA,NA,"W"
"cand68976913","allenjhn","AZ",15,"state:lower",2014,"I",1,NA,"W"
"cand6010","carterheather","AZ",15,"state:lower",2014,"I",1,NA,"W"
"cand68976927","colemandouglaskent","AZ",16,"state:lower",2014,"I",1,1,"W"
"cand68976927","colemandouglaskent","AZ",16,"state:lower",2014,"I",1,1,"W"
"cand68976944","grierthomasjames","AZ",16,"state:lower",2014,"",NA,1,""
"cand68976951","stevensadam","AZ",16,"state:lower",2014,"",NA,1,""
"cand5928","fillmorejohn","AZ",16,"state:lower",2014,"",NA,1,""
"cand133183","priorcaralee","AZ",16,"state:lower",2014,"",1,1,""
"cand123019","davisjeff","AZ",16,"state:lower",2014,"",NA,1,""
