Name,ElectionStatus,StatusOfCandidate,SpecificParty,GeneralParty,State,Year,ElectionType,Office,IncumbencyStatus,NumberOfRecords,TotalDollars
"CHRISTIE, CHRISTOPHER J (CHRIS) & GUADAGNO, KIM",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,NJ,2009,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,CHALLENGER,4,"$10,400,000"
"MURPHY, PHILIP D (PHIL)& OLIVER, SHEILA",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,NJ,2017,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,OPEN,3,"$9,300,000"
"MALLOY, DANNEL P & WYMAN, NANCY S",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,OPEN,8,"$8,822,850"
"FOLEY SR, THOMAS COLEMAN (TOM) & SOMERS, HEATHER",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,CT,2014,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,CHALLENGER,3,"$8,244,999"
"CHRISTIE, CHRISTOPHER J (CHRIS) & GUADAGNO, KIM",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,NJ,2013,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,INCUMBENT,3,"$8,047,236"
"MALLOY, DANNEL P & WYMAN, NANCY S",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,CT,2014,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,INCUMBENT,3,"$6,500,310"
"GUADAGNO, KIM & RENDO, CARLOS A",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,NJ,2017,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,OPEN,5,"$5,480,371"
"DE BLASIO, BILL",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,NY-NYC,2013,STANDARD,MAYOR,OPEN,8,"$3,994,496"
"TOLMAN, WARREN E",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,MA,2002,STANDARD,GOVERNOR,OPEN,7,"$3,788,200"
"BUONO, BARBARA & SILVA, MILLY",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,NJ,2013,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,CHALLENGER,6,"$3,611,360"
"QUINN, CHRISTINE C",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NY-NYC,2013,STANDARD,MAYOR,OPEN,2,"$3,534,300"
"DE BLASIO, BILL",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,NY-NYC,2017,STANDARD,MAYOR,OPEN,7,"$3,488,124"
"CRIST JR, CHARLES JOSEPH (CHARLIE) & KOTTKAMP, JEFFREY D",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,FL,2006,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,OPEN,13,"$3,309,338"
"LHOTA, JOSEPH J",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,NY-NYC,2013,STANDARD,MAYOR,OPEN,8,"$3,128,034"
"HOGAN JR, LAWRENCE J (LARRY) & RUTHERFORD, BOYD K",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,MD,2014,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,OPEN,4,"$2,918,175"
"LONEGAN, STEVEN M",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NJ,2009,STANDARD,GOVERNOR,OPEN,5,"$2,709,979"
"CRIST JR, CHARLES JOSEPH (CHARLIE) & TADDEO, ANNETTE",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,FL,2014,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,CHALLENGER,11,"$2,579,780"
"SQUADRON, DANIEL",LOST-PRIMARY RUNOFF,LOST,DEMOCRATIC,DEMOCRATIC,NY-NYC,2013,STANDARD,PUBLIC ADVOCATE,CHALLENGER,5,"$2,558,599"
"MALLIOTAKIS, NICOLE",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,NY-NYC,2017,STANDARD,MAYOR,OPEN,4,"$2,485,212"
"FEDELE JR, MICHAEL C",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,CT,2010,STANDARD,GOVERNOR,OPEN,5,"$2,477,728"
"DESANTIS, RONALD D (RON) & NUNEZ, JEANETTE",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,FL,2018,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,OPEN,13,"$2,307,148"
"NAPOLITANO, JANET",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,AZ,2002,STANDARD,GOVERNOR,OPEN,6,"$2,254,740"
"GILLUM, ANDREW D & KING, THOMAS CHRISTOPHER (CHRIS)",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,FL,2018,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,OPEN,10,"$2,228,388"
"POSTHUMUS, RICHARD E & BENNETT, LOREN N",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,MI,2002,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,OPEN,12,"$2,115,000"
"FORGY, LARRY",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,KY,1995,STANDARD,GOVERNOR,UNKNOWN,1,"$2,000,000"
"PATTON, PAUL E",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,KY,1995,STANDARD,GOVERNOR,UNKNOWN,1,"$2,000,000"
"MCBRIDE, WILLIAM H & ROSSIN, TOM",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,FL,2002,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,CHALLENGER,13,"$1,976,288"
"STRINGER, SCOTT M",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,NY-NYC,2013,STANDARD,CITY COMPTROLLER,OPEN,5,"$1,952,350"
"THOMPSON JR, WILLIAM C",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NY-NYC,2013,STANDARD,MAYOR,OPEN,4,"$1,852,446"
"DAVIS, JIM & JONES, DARYL L",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,FL,2006,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,OPEN,12,"$1,825,853"
"SCHUNDLER, BRET D",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NJ,2005,STANDARD,GOVERNOR,OPEN,4,"$1,807,750"
"MCCOLLUM, BILL",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,FL,2010,STANDARD,GOVERNOR,OPEN,5,"$1,802,082"
"MITCHELL, ELIZABETH H",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,ME,2010,STANDARD,GOVERNOR,OPEN,13,"$1,799,398"
"BREWER, JAN",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,AZ,2010,STANDARD,GOVERNOR,INCUMBENT,4,"$1,768,577"
"GODDARD, TERRY",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,AZ,2010,STANDARD,GOVERNOR,CHALLENGER,6,"$1,760,945"
"MAHONEY, RICHARD D",LOST-GENERAL,LOST,INDEPENDENT,THIRD-PARTY,AZ,2002,STANDARD,GOVERNOR,OPEN,16,"$1,694,875"
"WEINER, ANTHONY D",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NY-NYC,2013,STANDARD,MAYOR,OPEN,4,"$1,652,074"
"JOHNSON, JIM",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NJ,2017,STANDARD,GOVERNOR,OPEN,2,"$1,564,420"
"NAPOLITANO, JANET",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,AZ,2006,STANDARD,GOVERNOR,INCUMBENT,6,"$1,555,524"
"BERNERO, VIRGIL P & LAWRENCE, BRENDA",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,MI,2010,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,OPEN,5,"$1,381,224"
"MCKINNEY, JOHN P",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,CT,2014,STANDARD,GOVERNOR,OPEN,1,"$1,359,061"
"MUNSIL, LEN",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,AZ,2006,STANDARD,GOVERNOR,CHALLENGER,19,"$1,358,337"
"OBSITNIK, STEPHEN A (STEVE)",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,CT,2018,STANDARD,GOVERNOR,OPEN,1,"$1,346,670"
"GALLAGHER, TOM",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,FL,2006,STANDARD,GOVERNOR,OPEN,5,"$1,335,235"
"WOODCOCK, CHANDLER E",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,ME,2006,STANDARD,GOVERNOR,CHALLENGER,5,"$1,316,173"
"WISNIEWSKI, JOHN S",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,NJ,2017,STANDARD,GOVERNOR,OPEN,3,"$1,299,887"
"SCHROEDER, ROBERT",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,NJ,2005,STANDARD,GOVERNOR,OPEN,4,"$1,265,742"
"GRAHAM, GWEN",LOST-PRIMARY,LOST,DEMOCRATIC,DEMOCRATIC,FL,2018,STANDARD,GOVERNOR,OPEN,5,"$1,219,561"
"JAMES, LETITIA",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,NY-NYC,2013,STANDARD,PUBLIC ADVOCATE,INCUMBENT,5,"$1,153,058"
"HAYES, TERRY",LOST-GENERAL,LOST,INDEPENDENT,THIRD-PARTY,ME,2018,STANDARD,GOVERNOR,OPEN,4,"$1,149,627"
"MACKAY, BUDDY & DANTZLER, RICHARD E",LOST-GENERAL,LOST,DEMOCRATIC,DEMOCRATIC,FL,1998,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,OPEN,14,"$1,149,406"
"ENGLER, JOHN M",WON-GENERAL,WON,REPUBLICAN,REPUBLICAN,MI,1998,STANDARD,GOVERNOR,INCUMBENT,2,"$1,125,000"
"GRANHOLM, JENNIFER M & CHERRY JR, JOHN D",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,MI,2006,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,INCUMBENT,2,"$1,125,000"
"GRANHOLM, JENNIFER M & CHERRY JR, JOHN D",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,MI,2002,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,OPEN,2,"$1,125,000"
"FUNG, ALLAN W",LOST-GENERAL,LOST,REPUBLICAN,REPUBLICAN,RI,2014,STANDARD,GOVERNOR,OPEN,3,"$1,124,495"
"LAMARCHE, PATRICIA H",LOST-GENERAL,LOST,GREEN INDEPENDENT,THIRD-PARTY,ME,2006,STANDARD,GOVERNOR,CHALLENGER,5,"$1,118,235"
"MERRILL, DENISE",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,SECRETARY OF STATE,OPEN,4,"$1,117,010"
"LEMBO, KEVIN P",WON-GENERAL,WON,DEMOCRATIC,DEMOCRATIC,CT,2010,STANDARD,COMPTROLLER,OPEN,8,"$1,106,150"
"DAGGETT, CHRIS & ESPOSITO, FRANK J",LOST-GENERAL,LOST,INDEPENDENT,THIRD-PARTY,NJ,2009,STANDARD,GOVERNOR / LIEUTENANT GOVERNOR,CHALLENGER,3,"$1,086,732"
"OMALLEY, MARTIN J",LOST-CONVENTION,LOST,DEMOCRATIC,DEMOCRATIC,US,2016,STANDARD,PRESIDENT / VICE PRESIDENT,OPEN,3,"$1,080,062"
"BAYLESS, MARY E (BETSEY)",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,AZ,2002,STANDARD,GOVERNOR,OPEN,21,"$1,077,170"
"SPRINGER, CAROL",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,AZ,2002,STANDARD,GOVERNOR,OPEN,13,"$1,068,850"
"PUTNAM, ADAM H",LOST-PRIMARY,LOST,REPUBLICAN,REPUBLICAN,FL,2018,STANDARD,GOVERNOR,OPEN,4,"$1,038,214"
