shd_fips,mrp_mean,mrp_sd,mrp_lower,mrp_upper,raw_mean,sample_size,abb,state,district,name,state_fips,pres_2012
1001,0.318046084,0.179736151,-0.093231532,0.602222744,-0.091471659,27,AL,Alabama,1,"State House District 1 (2012), Alabama",1,NA
1002,0.627288995,0.194515629,0.212469088,0.994138626,0.67174367,13,AL,Alabama,2,"State House District 2 (2012), Alabama",1,NA
1003,0.211735197,0.154313157,-0.11012332,0.531457042,0.284117522,25,AL,Alabama,3,"State House District 3 (2012), Alabama",1,NA
1004,0.535561177,0.184600829,0.163629881,0.776225547,0.548249235,29,AL,Alabama,4,"State House District 4 (2012), Alabama",1,NA
1005,0.543698462,0.150663644,0.196272032,0.842659317,0.767598878,35,AL,Alabama,5,"State House District 5 (2012), Alabama",1,NA
1006,0.408082568,0.142360385,0.116645445,0.714798946,0.650774065,34,AL,Alabama,6,"State House District 6 (2012), Alabama",1,NA
1007,0.183522779,0.230986605,-0.120606386,0.621676934,0.282488768,16,AL,Alabama,7,"State House District 7 (2012), Alabama",1,NA
1008,0.263196573,0.218156325,-0.00817053,0.700443091,0.561384685,26,AL,Alabama,8,"State House District 8 (2012), Alabama",1,NA
1009,0.658481821,0.289482746,0.156072257,1.086021861,0.852195556,27,AL,Alabama,9,"State House District 9 (2012), Alabama",1,NA
1010,0.530093849,0.138498931,0.21520852,0.808199257,0.598948685,40,AL,Alabama,10,"State House District 10 (2012), Alabama",1,NA
1011,0.596732109,0.162153401,0.24486692,0.894850986,0.617733173,29,AL,Alabama,11,"State House District 11 (2012), Alabama",1,NA
1012,0.643596297,0.163561353,0.315333998,1.013264872,0.870652938,30,AL,Alabama,12,"State House District 12 (2012), Alabama",1,NA
1013,0.269787631,0.256841041,-0.100267116,0.800987707,0.237325142,10,AL,Alabama,13,"State House District 13 (2012), Alabama",1,NA
1014,0.62976184,0.179571213,0.226887362,0.953983424,0.619154238,24,AL,Alabama,14,"State House District 14 (2012), Alabama",1,NA
1015,0.432167953,0.156729084,0.122980336,0.776524266,0.476692771,32,AL,Alabama,15,"State House District 15 (2012), Alabama",1,NA
1016,0.502107222,0.163914911,0.160389821,0.832652695,0.538399159,25,AL,Alabama,16,"State House District 16 (2012), Alabama",1,NA
1017,0.499796353,0.248120495,0.187775333,1.035731463,0.91925323,12,AL,Alabama,17,"State House District 17 (2012), Alabama",1,NA
1018,0.816648192,0.204049135,0.438050239,1.253661956,1.345261583,13,AL,Alabama,18,"State House District 18 (2012), Alabama",1,NA
1019,0.110756929,0.160829407,-0.227671693,0.364122698,0.20987808,39,AL,Alabama,19,"State House District 19 (2012), Alabama",1,NA
1020,0.228121891,0.142048705,-0.02058671,0.545037624,0.175019939,54,AL,Alabama,20,"State House District 20 (2012), Alabama",1,NA
1021,0.380041448,0.146986454,0.059005319,0.703890373,0.384031658,39,AL,Alabama,21,"State House District 21 (2012), Alabama",1,NA
1022,0.70366067,0.178443952,0.332060983,0.996338468,0.604295777,33,AL,Alabama,22,"State House District 22 (2012), Alabama",1,NA
1023,0.530165686,0.207037121,0.072657094,0.819398216,0.61318089,19,AL,Alabama,23,"State House District 23 (2012), Alabama",1,NA
1024,0.471419385,0.170253918,0.164725617,0.855090301,0.469619604,34,AL,Alabama,24,"State House District 24 (2012), Alabama",1,NA
1025,0.453130771,0.143311052,0.168996079,0.773932225,0.54159146,48,AL,Alabama,25,"State House District 25 (2012), Alabama",1,NA
1026,0.279538863,0.180780189,-0.059053478,0.653369756,0.285663758,19,AL,Alabama,26,"State House District 26 (2012), Alabama",1,NA
1027,0.460369708,0.146489187,0.15118962,0.761118189,0.536402634,31,AL,Alabama,27,"State House District 27 (2012), Alabama",1,NA
1028,0.354747714,0.164215243,0.118259691,0.688961378,0.485139834,48,AL,Alabama,28,"State House District 28 (2012), Alabama",1,NA
1029,0.40174049,0.268098347,0.050261503,0.902434835,0.449299989,25,AL,Alabama,29,"State House District 29 (2012), Alabama",1,NA
1030,0.467632107,0.168507309,0.204571987,0.876654844,0.630007301,28,AL,Alabama,30,"State House District 30 (2012), Alabama",1,NA
1031,0.587927778,0.142195549,0.27941588,0.897486234,0.74580708,47,AL,Alabama,31,"State House District 31 (2012), Alabama",1,NA
1032,-0.028879838,0.154178135,-0.361388906,0.260124821,-0.286585024,29,AL,Alabama,32,"State House District 32 (2012), Alabama",1,NA
1033,0.278169549,0.191368388,-0.115195439,0.701123226,0.256071096,14,AL,Alabama,33,"State House District 33 (2012), Alabama",1,NA
1034,0.464722011,0.166273205,0.108118681,0.788119515,0.539826255,22,AL,Alabama,34,"State House District 34 (2012), Alabama",1,NA
1035,0.467746556,0.215269034,0.06792593,0.75044334,0.510170095,38,AL,Alabama,35,"State House District 35 (2012), Alabama",1,NA
1036,0.546877771,0.149702863,0.240274223,0.879070432,0.737527035,34,AL,Alabama,36,"State House District 36 (2012), Alabama",1,NA
1037,0.723131473,0.177691385,0.403033618,1.115315995,0.867907954,25,AL,Alabama,37,"State House District 37 (2012), Alabama",1,NA
1038,0.563834183,0.180202962,0.170045871,0.836137135,0.651669744,30,AL,Alabama,38,"State House District 38 (2012), Alabama",1,NA
1039,0.547474232,0.297735598,0.086249374,0.979919972,0.304704332,30,AL,Alabama,39,"State House District 39 (2012), Alabama",1,NA
1040,0.183243098,0.157117901,-0.16004475,0.494917788,-0.05500117,26,AL,Alabama,40,"State House District 40 (2012), Alabama",1,NA
1041,0.290613496,0.162106519,-0.025934179,0.616973816,0.42429191,26,AL,Alabama,41,"State House District 41 (2012), Alabama",1,NA
1042,0.379442009,0.180390842,-0.002772722,0.673093228,0.429345775,24,AL,Alabama,42,"State House District 42 (2012), Alabama",1,NA
1043,0.316953663,0.164937178,0.047821463,0.673866002,0.42084524,40,AL,Alabama,43,"State House District 43 (2012), Alabama",1,NA
1044,0.074532977,0.163192932,-0.245653929,0.408267585,-0.153109553,28,AL,Alabama,44,"State House District 44 (2012), Alabama",1,NA
1045,0.284367417,0.165101538,-0.067935876,0.552686845,0.423313325,31,AL,Alabama,45,"State House District 45 (2012), Alabama",1,NA
1046,-0.23642397,0.14749313,-0.535313613,0.05958556,-0.415796175,34,AL,Alabama,46,"State House District 46 (2012), Alabama",1,NA
1047,0.273546567,0.143944067,-0.041126424,0.593398487,0.245661167,42,AL,Alabama,47,"State House District 47 (2012), Alabama",1,NA
1048,0.341566175,0.144150816,0.087877909,0.636687493,0.411746461,36,AL,Alabama,48,"State House District 48 (2012), Alabama",1,NA
1049,0.378567872,0.169220189,0.060079049,0.747302072,0.611531939,25,AL,Alabama,49,"State House District 49 (2012), Alabama",1,NA
1050,0.318802818,0.161801085,0.014168962,0.664079943,0.428998549,22,AL,Alabama,50,"State House District 50 (2012), Alabama",1,NA
1051,0.59389941,0.175624956,0.213333192,0.890541616,0.773223881,23,AL,Alabama,51,"State House District 51 (2012), Alabama",1,NA
1052,-0.148736989,0.15632264,-0.379716286,0.182674634,-0.255085416,46,AL,Alabama,52,"State House District 52 (2012), Alabama",1,NA
1053,-0.010939107,0.165582489,-0.361874112,0.332497043,0.225017553,32,AL,Alabama,53,"State House District 53 (2012), Alabama",1,NA
