ssd_fips,ssd_fips_num,mrp_mean,mrp_sd,mrp_lower,mrp_upper,raw_mean,sample_size2,abb,state_fips,chamber,pres_2008
1001,1001,0.29385686,0.10798469,0.087129934,0.503192922,0.266414038,87,AL,1,State Senate District,0.379073277
1002,1002,0.497243841,0.093286857,0.30950227,0.664632461,0.62983603,151,AL,1,State Senate District,0.353585755
1003,1003,0.212093283,0.100503054,0.007616991,0.446348594,0.170716525,132,AL,1,State Senate District,0.301357797
1004,1004,0.318650167,0.107103727,0.119178456,0.530242529,0.341818356,108,AL,1,State Senate District,0.226224237
1005,1005,0.323625511,0.103397999,0.116624508,0.51369623,0.245672309,98,AL,1,State Senate District,0.241735681
1006,1006,0.355725266,0.110162053,0.14093835,0.56427562,0.371957934,100,AL,1,State Senate District,0.243242623
1007,1007,0.017426829,0.099817249,-0.152545677,0.20323106,-0.014147267,131,AL,1,State Senate District,0.509600808
1008,1008,0.4016114,0.102070801,0.21676136,0.59563838,0.392606438,104,AL,1,State Senate District,0.268368262
1009,1009,0.354123124,0.087897647,0.182977934,0.538018787,0.284167704,148,AL,1,State Senate District,0.23328584
1010,1010,0.273755718,0.100602996,0.095958653,0.477632287,0.297675882,108,AL,1,State Senate District,0.29363167
1011,1011,0.167254456,0.111381318,-0.047272013,0.381756874,0.289095728,89,AL,1,State Senate District,0.421541247
1012,1012,0.233876006,0.098055577,0.035316879,0.416781809,0.193685771,113,AL,1,State Senate District,0.234368421
1013,1013,0.157073343,0.122825597,-0.082857006,0.38405699,0.225961447,68,AL,1,State Senate District,0.319934018
1014,1014,0.464818753,0.09474439,0.283862413,0.642542845,0.508330535,135,AL,1,State Senate District,0.237743492
1015,1015,0.334304553,0.100009177,0.145131861,0.542385802,0.294361548,108,AL,1,State Senate District,0.228904859
1016,1016,0.366696948,0.085712445,0.208279279,0.535153485,0.344575006,180,AL,1,State Senate District,0.268024632
1017,1017,0.492802145,0.102693702,0.286775223,0.687129111,0.47413317,112,AL,1,State Senate District,0.169053904
1018,1018,-0.323204698,0.101978628,-0.519300342,-0.128195146,-0.342827055,118,AL,1,State Senate District,0.810948059
1019,1019,-0.262683441,0.104372357,-0.457644502,-0.0556098,-0.183354777,96,AL,1,State Senate District,0.788396469
1020,1020,-0.266558041,0.101386369,-0.461004398,-0.063711957,-0.298260303,96,AL,1,State Senate District,0.809910321
1021,1021,0.158756858,0.10849257,-0.038321215,0.367243937,0.119555426,98,AL,1,State Senate District,0.370281676
1022,1022,0.175091764,0.116038815,-0.040147983,0.397800824,0.274953328,74,AL,1,State Senate District,0.359367024
1023,1023,-0.116317129,0.12095066,-0.343735585,0.110004726,-0.16724346,67,AL,1,State Senate District,0.630503324
1024,1024,-0.075470575,0.115771501,-0.307522478,0.125998167,0.015605731,87,AL,1,State Senate District,0.654863026
1025,1025,0.459799888,0.091466926,0.280459688,0.638489908,0.477803541,142,AL,1,State Senate District,0.310678362
1026,1026,-0.071596682,0.110849587,-0.305236472,0.133503894,-0.046567102,86,AL,1,State Senate District,0.773313016
