ssd_fips,mrp_mean,mrp_sd,mrp_lower,mrp_upper,raw_mean,abb,state,state_fips,name,pres_2012,district,sample_size
1001,0.572468071,0.135126668,0.30956546,0.82538315,0.593874517,AL,Alabama,1,"State Senate District 1 (2012), Alabama",NA,1,72
1002,0.407002863,0.114578787,0.184022735,0.644251177,0.546164978,AL,Alabama,1,"State Senate District 2 (2012), Alabama",NA,2,123
1003,0.517370121,0.125540789,0.280801593,0.770288933,0.681309016,AL,Alabama,1,"State Senate District 3 (2012), Alabama",NA,3,79
1004,0.573467536,0.13246937,0.32237571,0.837030186,0.742562187,AL,Alabama,1,"State Senate District 4 (2012), Alabama",NA,4,77
1005,0.482126112,0.149440384,0.199909893,0.782813798,0.510771276,AL,Alabama,1,"State Senate District 5 (2012), Alabama",NA,5,50
1006,0.337170923,0.139305432,0.057641152,0.598733209,0.412491037,AL,Alabama,1,"State Senate District 6 (2012), Alabama",NA,6,63
1007,0.235454081,0.102133022,0.039507515,0.44760034,0.36586091,AL,Alabama,1,"State Senate District 7 (2012), Alabama",NA,7,142
1008,0.354884882,0.111821399,0.143972693,0.587913433,0.368616209,AL,Alabama,1,"State Senate District 8 (2012), Alabama",NA,8,83
1009,0.295525331,0.129687803,0.034848285,0.562838932,0.28599708,AL,Alabama,1,"State Senate District 9 (2012), Alabama",NA,9,67
1010,0.452321105,0.112279308,0.248982381,0.681089053,0.480248636,AL,Alabama,1,"State Senate District 10 (2012), Alabama",NA,10,102
1011,0.333588109,0.132252046,0.069449161,0.584958862,0.360853361,AL,Alabama,1,"State Senate District 11 (2012), Alabama",NA,11,81
1012,0.251179768,0.116505499,0.013595321,0.480118206,0.15051323,AL,Alabama,1,"State Senate District 12 (2012), Alabama",NA,12,96
1013,0.627401595,0.135478836,0.35517865,0.874631755,0.705992333,AL,Alabama,1,"State Senate District 13 (2012), Alabama",NA,13,73
1014,0.628909764,0.132510529,0.381493222,0.912413849,0.740385636,AL,Alabama,1,"State Senate District 14 (2012), Alabama",NA,14,77
1015,0.251823297,0.124861821,0.005653074,0.484648696,0.298503206,AL,Alabama,1,"State Senate District 15 (2012), Alabama",NA,15,77
